ItemID,ContainerID,"Coordinates(W1,D1,H1)","Coordinates(W2,D2,H2)"
item003,cont001,"(0.0,0.0,0.0)","(100.0,80.0,50.0)"
item039,cont023,"(0.0,0.0,0.0)","(100.0,80.0,50.0)"
item037,cont013,"(0.0,0.0,50.0)","(150.0,100.0,100.0)"
item001,cont001,"(0.0,0.0,50.0)","(200.0,200.0,350.0)"
item011,cont004,"(0.0,0.0,0.0)","(200.0,150.0,100.0)"
item032,cont011,"(0.0,0.0,0.0)","(200.0,150.0,100.0)"
item038,cont013,"(0.0,0.0,100.0)","(200.0,150.0,200.0)"
item006,cont002,"(0.0,0.0,0.0)","(120.0,100.0,60.0)"
item029,cont010,"(0.0,0.0,0.0)","(150.0,120.0,80.0)"
item010,cont004,"(0.0,0.0,100.0)","(150.0,100.0,150.0)"
item002,cont001,"(105.0,0.0,0.0)","(255.0,100.0,50.0)"
item018,cont006,"(0.0,0.0,0.0)","(80.0,60.0,40.0)"
item028,cont010,"(157.5,0.0,0.0)","(207.5,40.0,30.0)"
item035,cont012,"(0.0,0.0,0.0)","(130.0,110.0,70.0)"
item009,cont003,"(0.0,0.0,0.0)","(400.0,300.0,200.0)"
item024,cont008,"(0.0,0.0,0.0)","(100.0,80.0,50.0)"
item031,cont011,"(0.0,0.0,100.0)","(80.0,60.0,140.0)"
item015,cont005,"(0.0,0.0,0.0)","(250.0,180.0,120.0)"
item022,cont008,"(105.0,0.0,0.0)","(225.0,100.0,60.0)"
item005,cont002,"(0.0,112.0,0.0)","(250.0,262.0,100.0)"
item019,cont007,"(0.0,0.0,0.0)","(150.0,120.0,80.0)"
item034,cont012,"(130.0,0.0,0.0)","(200.0,60.0,40.0)"
item012,cont004,"(150.0,0.0,100.0)","(250.0,80.0,150.0)"
item027,cont009,"(0.0,0.0,0.0)","(100.0,80.0,50.0)"
item030,cont010,"(225.0,0.0,0.0)","(325.0,80.0,50.0)"
item042,cont014,"(0.0,0.0,0.0)","(120.0,100.0,60.0)"
item045,cont015,"(0.0,0.0,0.0)","(120.0,100.0,60.0)"
item048,cont016,"(0.0,0.0,0.0)","(120.0,100.0,60.0)"
item013,cont005,"(0.0,187.5,0.0)","(80.0,247.5,40.0)"
item023,cont008,"(0.0,100.0,0.0)","(180.0,250.0,100.0)"
item033,cont011,"(200.0,0.0,0.0)","(250.0,40.0,30.0)"
item007,cont003,"(0.0,0.0,200.0)","(300.0,200.0,350.0)"
item017,cont006,"(87.5,0.0,0.0)","(237.5,120.0,80.0)"
item021,cont007,"(160.0,0.0,0.0)","(260.0,80.0,50.0)"
item036,cont012,"(0.0,0.0,70.0)","(90.0,70.0,120.0)"
item041,cont014,"(120.0,0.0,0.0)","(300.0,150.0,100.0)"
item044,cont015,"(122.5,0.0,0.0)","(302.5,150.0,100.0)"
item047,cont016,"(120.0,0.0,0.0)","(300.0,150.0,100.0)"
item050,cont017,"(0.0,0.0,0.0)","(180.0,150.0,100.0)"
item052,cont018,"(0.0,0.0,0.0)","(190.0,160.0,110.0)"
item054,cont019,"(0.0,0.0,0.0)","(100.0,180.0,400.0)"
item004,cont002,"(0.0,0.0,100.0)","(300.0,200.0,200.0)"
item026,cont009,"(100.0,0.0,0.0)","(250.0,120.0,80.0)"
item014,cont005,"(0.0,0.0,120.0)","(150.0,120.0,200.0)"
item020,cont007,"(160.0,87.5,0.0)","(360.0,237.5,100.0)"
item040,cont014,"(0.0,0.0,100.0)","(300.0,200.0,250.0)"
item043,cont015,"(0.0,0.0,100.0)","(300.0,200.0,250.0)"
item046,cont016,"(0.0,0.0,100.0)","(250.0,150.0,200.0)"
item049,cont017,"(0.0,0.0,100.0)","(270.0,170.0,170.0)"
item051,cont018,"(0.0,0.0,110.0)","(290.0,190.0,200.0)"
item053,cont019,"(100.0,0.0,0.0)","(300.0,200.0,300.0)"
item016,cont006,"(245.0,0.0,0.0)","(345.0,80.0,50.0)"
item025,cont009,"(0.0,120.0,0.0)","(180.0,270.0,100.0)"
item008,cont003,"(300.0,0.0,200.0)","(400.0,250.0,350.0)"
item100,cont025,"(0.0,0.0,0.0)","(200.0,200.0,300.0)"
