item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000001,Gyroscope_Module,17.8,31.9,34.1,9.68,50,,3753,Engineering_Bay
000002,Research_Samples,14.1,11.6,25.4,9.0,68,,62,Storage_Bay
000003,Scientific_Sensor,30.0,23.8,23.1,8.25,11,,925,Cockpit
000004,Waste_Management_Kit,16.9,17.0,11.4,7.9,15,,32,Engineering_Bay
000005,Water_Purification_Unit,15.2,20.5,45.5,7.09,28,,3878,Crew_Quarters
000006,Emergency_Oxygen_Mask,48.3,43.3,14.2,14.85,75,,275,Medical_Bay
000007,Protein_Bars,43.3,34.6,17.2,12.88,49,,2004,Storage_Bay
000008,Tool_Kit,11.5,28.2,16.3,8.0,7,,73,Maintenance_Bay
000009,Medical_Scanner,11.1,42.1,42.5,9.93,21,2026-03-18T00:00:00Z,60,Medical_Bay
000010,Protein_Bars,47.1,29.4,38.8,26.86,7,,4338,Storage_Bay
000011,Tether_Reel,15.3,18.3,22.7,3.18,90,,178,Airlock
000012,Emergency_Oxygen_Mask,13.5,32.0,16.5,3.56,73,,4299,Medical_Bay
000013,Waste_Management_Kit,26.5,12.8,25.9,1.2,81,,95,Sanitation_Bay
000014,CO2_Scrubber,34.8,32.9,30.5,17.46,19,,472,Life_Support
000015,Water_Bottle,11.9,45.9,25.4,6.94,85,,3240,Storage_Bay
000016,Radiation_Shield,11.2,32.6,29.1,5.31,20,,4141,Engineering_Bay
000017,Gyroscope_Module,10.3,10.8,13.7,0.76,90,,2862,Cockpit
000018,Tether_Reel,25.0,36.0,41.0,18.45,96,,720,External_Storage
000019,First_Aid_Kit,28.5,21.8,11.2,5.4,64,,57,Medical_Bay
000020,Protein_Bars,13.2,16.0,47.2,4.98,20,,99,Crew_Quarters
000021,Oxygen_Cylinder,27.5,28.4,40.4,44.3,1,,2885,Medical_Bay
000022,Pressure_Regulator,39.9,28.1,25.6,14.35,79,,1684,Airlock
000023,Battery_Pack,35.8,49.5,46.3,41.02,21,,658,Power_Bay
000024,Circuit_Board,25.5,41.9,37.7,20.14,65,,3021,Engineering_Bay
000025,Oxygen_Cylinder,17.8,28.1,93.7,47.3,59,,887,Airlock
000026,Antibiotic_Supply,25.9,22.1,18.9,5.41,26,2025-09-05T00:00:00Z,4899,Lab
000027,Cooling_System,14.9,35.7,40.9,10.88,50,,1529,Engineering_Bay
000028,Protein_Bars,26.9,13.8,39.1,7.26,1,,2723,Crew_Quarters
000029,Waste_Management_Kit,18.2,28.6,15.6,2.1,51,,36,Engineering_Bay
000030,Circuit_Board,28.6,48.2,22.5,15.51,64,,3325,Storage_Bay
000031,Radiation_Shield,49.8,23.6,45.7,26.86,57,,916,Engineering_Bay
000032,Tether_Reel,36.6,16.0,46.1,13.5,12,,3024,External_Storage
000033,Water_Bottle,44.9,21.8,34.9,17.08,46,,2306,Crew_Quarters
000034,Pressure_Regulator,42.3,44.1,12.5,11.66,64,,296,Airlock
000035,Space_Suit,36.5,22.6,38.2,15.76,64,,4815,Airlock
000036,Waste_Management_Kit,15.2,23.9,26.7,7.6,27,,27,Engineering_Bay
000037,Battery_Pack,48.6,15.3,28.5,10.6,14,,610,External_Storage
000038,Communication_Device,23.8,34.5,18.8,7.72,34,,3267,Command_Center
000039,Circuit_Board,44.6,34.3,12.3,9.41,9,,1135,Storage_Bay
000040,Oxygen_Cylinder,20.2,20.4,91.8,19.6,24,,3177,Airlock
000041,Space_Suit,28.1,39.7,48.8,27.22,92,,1326,Airlock
000042,Asteroid_Sample_Container,16.8,24.5,17.1,8.5,58,,892,Storage_Bay
000043,Water_Bottle,24.5,24.1,40.2,11.87,31,,1155,Storage_Bay
000044,EV_Suit_Battery,32.0,29.8,15.1,7.2,66,,396,Storage_Bay
000045,Tether_Reel,40.7,39.7,26.9,21.73,79,,1998,External_Storage
000046,Radiation_Shield,17.6,36.3,11.2,3.58,49,,4839,Storage_Bay
000047,Water_Bottle,13.4,24.0,12.0,1.93,80,,691,Storage_Bay
000048,Asteroid_Sample_Container,21.8,17.8,17.8,5.3,57,,1627,Lab
000049,Handheld_Spectrometer,32.5,29.9,47.9,23.27,95,,3781,Engineering_Bay
000050,Circuit_Board,29.7,16.2,12.5,3.01,19,,2017,Storage_Bay
000051,LED_Work_Light,48.0,21.3,30.4,15.54,45,,3966,Maintenance_Bay
000052,Food_Packet,25.3,19.6,13.4,5.7,93,2026-08-31T00:00:00Z,76,Storage_Bay
000053,Food_Packet,29.5,18.9,19.0,7.3,50,2027-02-06T00:00:00Z,22,Crew_Quarters
000054,Fire_Extinguisher,26.8,15.7,45.1,9.49,20,,3191,Crew_Quarters
000055,Oxygen_Cylinder,16.1,29.1,83.2,13.8,5,,3358,Airlock
000056,Lab_Microscope,25.0,41.8,47.3,24.71,91,,1269,Medical_Bay
000057,Fire_Extinguisher,45.8,29.5,47.3,31.95,69,,2417,Engineering_Bay
000058,Communication_Device,37.2,29.0,22.9,12.35,15,,2173,Command_Center
000059,Emergency_Oxygen_Mask,25.6,15.2,26.5,5.16,28,,4309,Medical_Bay
000060,Research_Samples,22.5,20.3,12.1,2.2,40,,1757,Lab
000061,Cooling_System,36.8,22.1,13.1,5.33,60,,952,Engineering_Bay
000062,Fire_Extinguisher,23.9,42.5,34.9,17.72,49,,1114,Crew_Quarters
000063,Emergency_Beacon,44.3,45.5,28.9,29.13,6,,4009,Cockpit
000064,First_Aid_Kit,28.7,19.4,26.0,9.7,75,,89,Medical_Bay
000065,Battery_Pack,12.7,26.4,35.8,6.0,37,,269,Power_Bay
000066,Pressure_Regulator,42.6,15.6,16.8,5.58,4,,1944,Airlock
000067,Water_Bottle,37.7,23.8,33.8,15.16,63,,59,Storage_Bay
000068,Space_Suit,44.7,35.9,20.3,16.29,15,,2606,Airlock
000069,Navigation_Module,23.4,28.7,42.0,14.1,55,,4238,Cockpit
000070,Water_Bottle,46.3,29.4,49.6,33.76,10,,2269,Crew_Quarters
000071,Cooling_System,30.2,26.8,34.9,14.12,41,,3944,Engineering_Bay
000072,Oxygen_Cylinder,19.2,24.5,83.7,45.5,75,,503,Medical_Bay
000073,Helmet_Visor,13.0,40.6,32.7,8.63,25,,1356,Storage_Bay
000074,Radiation_Shield,26.2,48.6,16.5,10.5,90,,4159,Engineering_Bay
000075,Handheld_Spectrometer,39.5,41.0,34.4,27.86,47,,4713,Lab
000076,CO2_Scrubber,36.4,46.5,18.0,15.23,8,,611,Engineering_Bay
000077,Battery_Pack,29.7,38.0,11.2,6.32,72,,980,Power_Bay
000078,EV_Suit_Battery,32.8,43.1,34.6,24.46,10,,268,Airlock
000079,Research_Samples,22.4,23.5,23.9,4.3,63,,1075,Lab
000080,Lab_Microscope,25.7,15.9,27.6,5.64,84,,4609,Lab
000081,Battery_Pack,36.2,33.6,48.8,29.68,13,,236,Power_Bay
000082,Fire_Extinguisher,15.2,49.5,23.5,8.84,5,,4121,Engineering_Bay
000083,Water_Bottle,40.0,43.1,14.1,12.15,97,,542,Storage_Bay
000084,Tether_Reel,21.9,13.2,22.5,3.25,55,,3002,External_Storage
000085,Circuit_Board,17.5,15.7,34.0,4.67,21,,634,Engineering_Bay
000086,Solar_Panel,85.0,97.3,3.6,10.6,44,,4212,Power_Bay
000087,Communication_Device,21.3,33.5,36.9,13.16,42,,10,Crew_Quarters
000088,Waste_Management_Kit,28.2,28.2,17.4,3.3,71,,90,Engineering_Bay
000089,Lab_Microscope,20.9,27.0,45.2,12.75,56,,2675,Lab
000090,Protein_Bars,32.3,14.1,19.8,4.51,60,,3325,Storage_Bay
000091,Tether_Reel,31.9,33.0,11.0,5.79,63,,804,Airlock
000092,Emergency_Beacon,18.7,43.4,41.2,16.72,31,,3922,Command_Center
000093,Laptop,25.8,25.6,24.2,7.99,72,,4586,Command_Center
000094,Helmet_Visor,25.4,43.2,11.6,6.36,84,,3272,Storage_Bay
000095,3D_Printer,18.0,48.3,44.8,19.47,1,,2094,Engineering_Bay
000096,Tool_Kit,11.9,18.0,24.3,4.6,91,,69,Maintenance_Bay
000097,Battery_Pack,24.0,47.9,30.6,17.59,28,,574,External_Storage
000098,Scientific_Sensor,14.7,14.0,25.8,2.65,13,,3734,Lab
000099,Battery_Pack,36.7,22.4,30.8,12.66,66,,784,External_Storage
000100,Handheld_Spectrometer,13.0,15.0,40.4,3.94,13,,2213,Lab
000101,Water_Bottle,23.4,15.9,10.4,1.93,34,,431,Storage_Bay
000102,Vacuum_Sealed_Tools,40.0,15.5,19.5,6.04,19,,395,Maintenance_Bay
000103,Battery_Pack,31.1,31.4,39.0,19.04,49,,150,External_Storage
000104,Navigation_Module,32.0,35.8,36.6,20.96,25,,4889,Command_Center
000105,Asteroid_Sample_Container,27.5,28.7,26.3,4.0,52,,1300,Storage_Bay
000106,Handheld_Spectrometer,49.1,17.9,23.4,10.28,43,,3062,Engineering_Bay
000107,Tool_Kit,19.3,11.8,25.6,2.4,64,,87,Storage_Bay
000108,CO2_Scrubber,27.2,32.2,15.8,6.92,94,,906,Engineering_Bay
000109,Seed_Packets,27.3,28.4,12.1,1.1,11,,74,Lab
000110,First_Aid_Kit,12.3,22.2,19.6,8.5,71,,60,Crew_Quarters
000111,Helmet_Visor,28.5,16.0,44.0,10.03,29,,1438,Storage_Bay
000112,Water_Purification_Unit,49.1,37.4,39.8,36.54,44,,4937,Life_Support
000113,Pressure_Regulator,47.9,11.0,12.9,3.4,84,,4754,Engineering_Bay
000114,Tool_Kit,22.7,23.2,19.0,4.5,50,,48,Maintenance_Bay
000115,Pressure_Regulator,25.6,44.7,27.8,15.91,84,,3481,Engineering_Bay
000116,Tool_Kit,27.5,10.1,17.1,6.9,27,,10,Storage_Bay
000117,CO2_Scrubber,49.6,28.9,32.9,23.58,17,,248,Life_Support
000118,Tether_Reel,36.9,37.2,34.9,23.95,39,,2190,External_Storage
000119,EV_Suit_Battery,22.3,26.8,26.4,7.89,84,,841,Airlock
000120,Antibiotic_Supply,19.5,20.1,47.2,9.25,9,2025-07-02T00:00:00Z,3435,Medical_Bay
000121,First_Aid_Kit,15.0,20.0,28.6,6.8,10,,69,Medical_Bay
000122,Circuit_Board,22.3,22.1,32.3,7.96,76,,3202,Engineering_Bay
000123,Cooling_System,48.1,11.8,43.2,12.26,29,,2807,Engineering_Bay
000124,Handheld_Spectrometer,11.7,21.5,35.0,4.4,46,,619,Lab
000125,Oxygen_Cylinder,17.2,21.0,97.4,44.5,90,,2179,Medical_Bay
000126,Protein_Bars,25.9,20.9,12.1,3.27,11,,4946,Crew_Quarters
000127,Pressure_Regulator,15.6,16.5,16.9,2.18,13,,908,Airlock
000128,Fire_Extinguisher,32.6,27.0,14.9,6.56,64,,995,Engineering_Bay
000129,Space_Suit,25.6,30.5,40.7,15.89,84,,1441,Airlock
000130,Food_Packet,21.4,11.1,22.6,6.3,65,2026-06-24T00:00:00Z,81,Crew_Quarters
000131,Water_Bottle,43.6,44.3,47.6,45.97,22,,3843,Crew_Quarters
000132,Medical_Scanner,25.4,25.6,28.3,9.2,63,2027-03-16T00:00:00Z,29,Lab
